SampleID	groupID	genotype	batch	compartment	genotype2	ecotype	species	Description	PlantID	genotype	AerialW	RootW	NoduleW	UndergroundW
#A17b2rs1	A17b2rs	A17	2	root	WT	A17	medicago	wildtype	101	A17	1.74	0.74	0.052	0.792
#A17b2rs2	A17b2rs	A17	2	root	WT	A17	medicago	wildtype	102	A17	1.44	0.66	0.075	0.735
A17b2rs3	A17b2rs	A17	2	root	WT	A17	medicago	wildtype	103	A17	1.68	0.53	0.081	0.611
#A17b2rs4	A17b2rs	A17	2	root	WT	A17	medicago	wildtype	104	A17	1.45	0.7	0.058	0.758
A17b2rs5	A17b2rs	A17	2	root	WT	A17	medicago	wildtype	105	A17	1.04	0.38	0.058	0.438
A17b2rs6	A17b2rs	A17	2	root	WT	A17	medicago	wildtype	106	A17	0.39	0.13	0.026	0.156
A17b2rs7	A17b2rs	A17	2	root	WT	A17	medicago	wildtype	107	A17	0.84	0.3	0.035	0.335
#A17b2rs8	A17b2rs	A17	2	root	WT	A17	medicago	wildtype	108	A17	1.4	0.63	0.05	0.68
#A17b2rs9	A17b2rs	A17	2	root	WT	A17	medicago	wildtype	109	A17	1.7	0.68	0.047	0.727
Anfpb2rs1	Anfpb2rs	Anfp	2	root	KO	A17	medicago	NodfactorreceptorA17background	128	NFP-1(A17)	0.29	0.26	0	0.26
Anfpb2rs2	Anfpb2rs	Anfp	2	root	KO	A17	medicago	NodfactorreceptorA17background	129	NFP-1(A17)	0.22	0.12	0	0.12
Anfpb2rs3	Anfpb2rs	Anfp	2	root	KO	A17	medicago	NodfactorreceptorA17background	130	NFP-1(A17)	0.25	0.08	0	0.08
Anfpb2rs4	Anfpb2rs	Anfp	2	root	KO	A17	medicago	NodfactorreceptorA17background	131	NFP-1(A17)	0.15	0.06	0	0.06
Anfpb2rs5	Anfpb2rs	Anfp	2	root	KO	A17	medicago	NodfactorreceptorA17background	132	NFP-1(A17)	0.23	0.15	0	0.15
Anfpb2rs6	Anfpb2rs	Anfp	2	root	KO	A17	medicago	NodfactorreceptorA17background	133	NFP-1(A17)	0.13	0.05	0	0.05
#Anfpb2rs7	Anfpb2rs	Anfp	2	root	KO	A17	medicago	NodfactorreceptorA17background	134	NFP-1(A17)	0.3	0.08	0	0.08
Anfpb2rs8	Anfpb2rs	Anfp	2	root	KO	A17	medicago	NodfactorreceptorA17background	135	NFP-1(A17)	0.32	0.11	0	0.11
Anfpb2rs9	Anfpb2rs	Anfp	2	root	KO	A17	medicago	NodfactorreceptorA17background	136	NFP-1(A17)	0.26	0.12	0	0.12
dmi2b2rs1	dmi2b2rs	dmi2	2	root	KO	A17	medicago	LRRreceptorlikekinaseA17background	137	dmi2	1.73	0.71	0.062	0.772
dmi2b2rs10	dmi2b2rs	dmi2	2	root	KO	A17	medicago	LRRreceptorlikekinaseA17background	138	dmi2	0.24	0.21	0	0.21
dmi2b2rs2	dmi2b2rs	dmi2	2	root	KO	A17	medicago	LRRreceptorlikekinaseA17background	139	dmi2	0.19	0.09	0	0.09
dmi2b2rs3	dmi2b2rs	dmi2	2	root	KO	A17	medicago	LRRreceptorlikekinaseA17background	140	dmi2	0.16	0.1	0	0.1
dmi2b2rs4	dmi2b2rs	dmi2	2	root	KO	A17	medicago	LRRreceptorlikekinaseA17background	141	dmi2	0.16	0.11	0	0.11
dmi2b2rs5	dmi2b2rs	dmi2	2	root	KO	A17	medicago	LRRreceptorlikekinaseA17background	142	dmi2	0.29	0.15	0	0.15
dmi2b2rs6	dmi2b2rs	dmi2	2	root	KO	A17	medicago	LRRreceptorlikekinaseA17background	143	dmi2	0.32	0.17	0	0.17
dmi2b2rs7	dmi2b2rs	dmi2	2	root	KO	A17	medicago	LRRreceptorlikekinaseA17background	144	dmi2	0.33	0.22	0	0.22
dmi2b2rs8	dmi2b2rs	dmi2	2	root	KO	A17	medicago	LRRreceptorlikekinaseA17background	145	dmi2	0.2	0.09	0	0.09
dmi2b2rs9	dmi2b2rs	dmi2	2	root	KO	A17	medicago	LRRreceptorlikekinaseA17background	146	dmi2	0.3	0.26	0	0.26
dmi3b2rs1	dmi3b2rs	dmi3	2	root	KO	A17	medicago	calciumdependentkinaseA17background	147	dmi3	0.2	0.21	0	0.21
dmi3b2rs2	dmi3b2rs	dmi3	2	root	KO	A17	medicago	calciumdependentkinaseA17background	148	dmi3	0.14	0.09	0	0.09
dmi3b2rs3	dmi3b2rs	dmi3	2	root	KO	A17	medicago	calciumdependentkinaseA17background	149	dmi3	0.21	0.14	0	0.14
dmi3b2rs4	dmi3b2rs	dmi3	2	root	KO	A17	medicago	calciumdependentkinaseA17background	150	dmi3	0.15	0.17	0	0.17
dmi3b2rs5	dmi3b2rs	dmi3	2	root	KO	A17	medicago	calciumdependentkinaseA17background	151	dmi3	0.17	0.18	0	0.18
dmi3b2rs6	dmi3b2rs	dmi3	2	root	KO	A17	medicago	calciumdependentkinaseA17background	152	dmi3	0.18	0.12	0	0.12
dmi3b2rs7	dmi3b2rs	dmi3	2	root	KO	A17	medicago	calciumdependentkinaseA17background	153	dmi3	0.17	0.08	0	0.08
dmi3b2rs8	dmi3b2rs	dmi3	2	root	KO	A17	medicago	calciumdependentkinaseA17background	154	dmi3	0.12	0.07	0	0.07
dmi3b2rs9	dmi3b2rs	dmi3	2	root	KO	A17	medicago	calciumdependentkinaseA17background	155	dmi3	0.2	0.11	0	0.11
lyk3b2rs1	lyk3b2rs	lyk3	2	root	KO	A17	medicago	NodfactorreceptorA17background	156	LYK3	0.19	0.17	0	0.17
lyk3b2rs2	lyk3b2rs	lyk3	2	root	KO	A17	medicago	NodfactorreceptorA17background	157	LYK3	0.16	0.08	0	0.08
lyk3b2rs3	lyk3b2rs	lyk3	2	root	KO	A17	medicago	NodfactorreceptorA17background	158	LYK3	0.19	0.11	0	0.11
lyk3b2rs4	lyk3b2rs	lyk3	2	root	KO	A17	medicago	NodfactorreceptorA17background	159	LYK3	0.19	0.19	0	0.19
lyk3b2rs5	lyk3b2rs	lyk3	2	root	KO	A17	medicago	NodfactorreceptorA17background	160	LYK3	0.25	0.25	0	0.25
lyk3b2rs6	lyk3b2rs	lyk3	2	root	KO	A17	medicago	NodfactorreceptorA17background	161	LYK3	0.15	0.13	0	0.13
lyk3b2rs7	lyk3b2rs	lyk3	2	root	KO	A17	medicago	NodfactorreceptorA17background	162	LYK3	0.17	0.14	0	0.14
lyk3b2rs8	lyk3b2rs	lyk3	2	root	KO	A17	medicago	NodfactorreceptorA17background	163	LYK3	0.18	0.18	0	0.18
lyk3b2rs9	lyk3b2rs	lyk3	2	root	KO	A17	medicago	NodfactorreceptorA17background	164	LYK3	0.11	0.04	0	0.04
lyk9b2rs1	lyk9b2rs	lyk9	2	root	KO	R108	medicago	ChitinreceptorR108background	176	LYK9	1.54	0.36	0.064	0.424
lyk9b2rs2	lyk9b2rs	lyk9	2	root	KO	R108	medicago	ChitinreceptorR108background	177	LYK9	0.59	0.09	0.031	0.121
lyk9b2rs3	lyk9b2rs	lyk9	2	root	KO	R108	medicago	ChitinreceptorR108background	178	LYK9	0.86	0.27	0.049	0.319
lyk9b2rs4	lyk9b2rs	lyk9	2	root	KO	R108	medicago	ChitinreceptorR108background	179	LYK9	1.34	0.48	0.09	0.57
lyk9b2rs5	lyk9b2rs	lyk9	2	root	KO	R108	medicago	ChitinreceptorR108background	180	LYK9	0.56	0.28	0.036	0.316
lyk9b2rs6	lyk9b2rs	lyk9	2	root	KO	R108	medicago	ChitinreceptorR108background	181	LYK9	1.8	0.61	0.065	0.675
lyk9b2rs7	lyk9b2rs	lyk9	2	root	KO	R108	medicago	ChitinreceptorR108background	182	LYK9	1	0.26	0.066	0.326
lyk9b2rs8	lyk9b2rs	lyk9	2	root	KO	R108	medicago	ChitinreceptorR108background	183	LYK9	0.08	0.03	0.012	0.042
lyk9b2rs9	lyk9b2rs	lyk9	2	root	KO	R108	medicago	ChitinreceptorR108background	184	LYK9	0.86	0.19	0.031	0.221
lyk9nfpb2rs1	lyk9nfpb2rs	lyk9nfp	2	root	KO	R108	medicago	doublemutantR108background	185	LYK9NFP	0.09	0.03	0	0.03
lyk9nfpb2rs2	lyk9nfpb2rs	lyk9nfp	2	root	KO	R108	medicago	doublemutantR108background	186	LYK9NFP	0.2	0.12	0	0.12
lyk9nfpb2rs3	lyk9nfpb2rs	lyk9nfp	2	root	KO	R108	medicago	doublemutantR108background	187	LYK9NFP	0.13	0.02	0	0.02
lyk9nfpb2rs4	lyk9nfpb2rs	lyk9nfp	2	root	KO	R108	medicago	doublemutantR108background	188	LYK9NFP	0.23	0.11	0	0.11
lyk9nfpb2rs5	lyk9nfpb2rs	lyk9nfp	2	root	KO	R108	medicago	doublemutantR108background	189	LYK9NFP	0.17	0.13	0	0.13
lyk9nfpb2rs6	lyk9nfpb2rs	lyk9nfp	2	root	KO	R108	medicago	doublemutantR108background	190	LYK9NFP	0.17	0.06	0	0.06
lyr4b2rs1	lyr4b2rs	lyr4	2	root	KO	R108	medicago	ChitinreceptorR108background	165	LYR4	0.37	0.18	0.028	0.208
lyr4b2rs10	lyr4b2rs	lyr4	2	root	KO	R108	medicago	ChitinreceptorR108background	166	LYR4	0.13	0.07	0	0.07
lyr4b2rs11	lyr4b2rs	lyr4	2	root	KO	R108	medicago	ChitinreceptorR108background	167	LYR4	1.02	0.53	0.044	0.574
lyr4b2rs2	lyr4b2rs	lyr4	2	root	KO	R108	medicago	ChitinreceptorR108background	168	LYR4	0.31	0.16	0.025	0.185
lyr4b2rs3	lyr4b2rs	lyr4	2	root	KO	R108	medicago	ChitinreceptorR108background	169	LYR4	0.2	0.16	0	0.16
lyr4b2rs4	lyr4b2rs	lyr4	2	root	KO	R108	medicago	ChitinreceptorR108background	170	LYR4	0.23	0.13	0.013	0.143
lyr4b2rs5	lyr4b2rs	lyr4	2	root	KO	R108	medicago	ChitinreceptorR108background	171	LYR4	0.44	0.26	0	0.26
lyr4b2rs6	lyr4b2rs	lyr4	2	root	KO	R108	medicago	ChitinreceptorR108background	172	LYR4	0.63	0.23	0.037	0.267
lyr4b2rs7	lyr4b2rs	lyr4	2	root	KO	R108	medicago	ChitinreceptorR108background	173	LYR4	0.49	0.24	0.022	0.262
lyr4b2rs8	lyr4b2rs	lyr4	2	root	KO	R108	medicago	ChitinreceptorR108background	174	LYR4	0.21	0.11	0.016	0.126
lyr4b2rs9	lyr4b2rs	lyr4	2	root	KO	R108	medicago	ChitinreceptorR108background	175	LYR4	0.55	0.14	0.055	0.195
R108b2rs1	R108b2rs	R108	2	root	WT	R108	medicago	wildtype	110	R108	0.84	0.46	0.017	0.477
R108b2rs2	R108b2rs	R108	2	root	WT	R108	medicago	wildtype	111	R108	0.81	0.27	0.05	0.32
R108b2rs3	R108b2rs	R108	2	root	WT	R108	medicago	wildtype	112	R108	0.35	0.13	0.016	0.146
R108b2rs4	R108b2rs	R108	2	root	WT	R108	medicago	wildtype	113	R108	0.76	0.26	0.042	0.302
R108b2rs5	R108b2rs	R108	2	root	WT	R108	medicago	wildtype	114	R108	0.27	0.12	0.009	0.129
R108b2rs6	R108b2rs	R108	2	root	WT	R108	medicago	wildtype	115	R108	0.68	0.31	0.035	0.345
R108b2rs7	R108b2rs	R108	2	root	WT	R108	medicago	wildtype	116	R108	0.79	0.26	0.041	0.301
R108b2rs8	R108b2rs	R108	2	root	WT	R108	medicago	wildtype	117	R108	0.5	0.15	0.009	0.159
#R108b2rs9	R108b2rs	R108	2	root	WT	R108	medicago	wildtype	118	R108	0.62	0.25	0.018	0.268
Rnfpb2rs1	Rnfpb2rs	Rnfp	2	root	KO	R108	medicago	NodfactorreceptorR108background	119	NFP	0.15	0.03	0	0.03
#Rnfpb2rs2	Rnfpb2rs	Rnfp	2	root	KO	R108	medicago	NodfactorreceptorR108background	120	NFP	0.1	0.03	0	0.03
Rnfpb2rs3	Rnfpb2rs	Rnfp	2	root	KO	R108	medicago	NodfactorreceptorR108background	121	NFP	0.13	0.06	0	0.06
Rnfpb2rs4	Rnfpb2rs	Rnfp	2	root	KO	R108	medicago	NodfactorreceptorR108background	122	NFP	0.12	0.05	0	0.05
