SampleID	height	tiller	wetWeight
B4017Ha	104	18	111.96
B4017Hb	110	21	110.67
B4017Hc	109	19	112.28
B4017Hd	105	21	107.96
B4017He	107	17	98.04
B4017Hf	94	18	97.58
B4017Hg	105	21	119.17
B4017Hh	108	20	104.36
B4017Hi	95	13	61.29
D4032Ha	80	20	71.7
D4032Hb	80	11	39.45
D4032Hc	78	23	97.31
D4032Hd	74	28	97.32
D4032He	84	28	112.3
D4032Hf	73	22	66.41
D4032Hg	78	26	91.16
D4032Hh	81	25	89.88
D4032Hi	92	21	84.51
E4041Ha	97	52	156.71
E4041Hb	92	41	109.74
E4041Hc	96	38	126.96
E4041Hd	107	40	151.16
E4041He	112	37	133.02
E4041Hf	102	34	117.16
E4041Hg	98	35	122.59
E4041Hh	106	34	129.47
E4041Hi	105	49	145.87
E4042Ha	87	39	119.14
E4042Hb	92	33	113.38
E4042Hc	96	21	86.84
E4042Hd	85	55	148.01
E4042He	88	23	70.67
E4042Hf	86	31	74.1
E4042Hg	87	22	80.17
E4042Hh	84	47	114.37
E4042Hi	88	45	131.4
E4046Ha	102	26	185.92
E4046Hb	86	24	103.03
E4046Hc	86	25	93.51
E4046Hd	90	27	112.79
E4046He	87	20	94.15
E4046Hf	83	26	102.1
E4046Hg	91	26	107.76
E4046Hh	107	33	196.1
E4046Hi	99	36	162.58
E4047Ha	96	44	153.02
E4047Hb	95	32	114.03
E4047Hc	93	34	108.56
E4047Hd	98	37	111.32
E4047He	101	35	138.29
E4047Hf	97	38	134.11
E4047Hg	95	28	90.62
E4047Hh	91	40	143.2
E4047Hi	82	30	103.2
E4048Ha	53	21	33.48
E4048Hb	56	27	42.3
E4048Hc	53	18	29.39
E4048Hd	47	23	25.37
E4048He	50	21	26.78
E4048Hf	53	12	18.18
E4048Hg	59	22	39.77
E4048Hh	50	27	41.65
E4048Hi	59	28	46.18
E4050Ha	104	31	126.28
E4050Hb	118	31	140.91
E4050Hc	109	26	121.06
E4050Hd	108	34	150.4
E4050He	114	27	174.56
E4050Hf	108	28	123.99
E4050Hg	108	37	167.27
E4050Hh	104	37	165.84
E4050Hi	107	27	117.42
F4051Ha	108	35	139.13
F4051Hb	116	31	143.33
F4051Hc	98	32	135.17
F4051Hd	96	22	111.12
F4051He	108	28	151.13
F4051Hf	110	30	142.14
F4051Hg	108	22	79.49
F4051Hh	102	17	81.65
F4051Hi	101	23	95.17
F4053Ha	89	24	110.95
F4053Hb	88	29	115.36
F4053Hc	100	30	124.11
F4053Hd	95	27	118.54
F4053He	91	24	113.14
F4053Hf	100	30	116.88
F4053Hg	89	31	119.98
F4053Hh	97	35	135.01
F4053Hi	92	31	114.22
F4054Ha	86	28	86.32
F4054Hb	89	38	161.25
F4054Hc	90	34	136.88
F4054Hd	90	30	106.52
F4054He	88	35	135.02
F4054Hf	94	29	119.59
F4054Hg	84	44	173.93
F4054Hh	91	25	102.04
F4054Hi	90	30	116.39
