EFD	ACIMPT	TAXON	ACP	ACNO	PLANTID	COUNTRY	RECEIVED	Latitude	Longitude	Regions	New_Structure	Subspecies
F4059		Oryzasativa	PI	430936	Red	Pakistan	28853	24.5428	67.4556	Subcontinent	Admix(AUS-ARO-IND)	Admix
F4052		Oryzasativa	PI	400780	MangaKely694	Madagascar	27548	-20.4679	47.0362	Africa	Admix(AUS-IND)	Admix
P4131		Oryzasativa	PI	430979	ShimlaEarly	Iraq	28853	33.7925	44.7457	Mideast	Admix(AUS-IND)	Admix
T4176	LANDRACE	Oryzasativa	PI	412811	JP5	Pakistan	27941	35	72.5	Subcontinent	Admix(AUS-IND)	Admix
R4160		Oryzasativa	PI	430909	Santhi990	Pakistan	28853	31.4521	70.8325	Subcontinent	Admix(AUS-IND-WD)	Admix
G4067	LANDRACE	Oryzasativa	PI	549224	Jumlidhan	Nepal	31029	29.26	82.23	Subcontinent	Admix(TEJ-ARO-TRJ)	Admix
H4073		Oryzasativa	PI	596818	BHIMDHAN	Nepal	33805	28.8539	85.949	Subcontinent	Admix(TEJ-ARO-TRJ)	Admix
A4004		Oryzasativa	CIor	9049	RD218	DominicanRepublic	19793	19.521	-69.0327	CentralAmerica	Admix(TEJ-TRJ)	Admix
B4016		Oryzasativa	PI	223612	Sel.No.388	Uruguay	20128	-32.0185	-56.8218	SouthAmerica	Admix(TEJ-TRJ)	Admix
C4028		Oryzasativa	PI	346827	H57-3-1	Argentina	25547	-34.9189	-57.3734	SouthAmerica	Admix(TEJ-TRJ)	Admix
J4081	LANDRACE	Oryzasativa	PI	154435	Ragasu	Taiwan	16932	23.8534	122.08	China	Admix(TEJ-TRJ)	Admix
J4082	LANDRACE	Oryzasativa	PI	154481	Tobura	Taiwan	16932	24.8287	119.557	China	Admix(TEJ-TRJ)	Admix
J4084	LANDRACE	Oryzasativa	PI	157385	YongChalByo	Korea_South	17216	37.0656	125.924	NorthPacific	Admix(TEJ-TRJ)	Admix
K4100		Oryzasativa	PI	268003	VaryTarvaOsla	Portugal	22166	39.1689	-8.83651	WesternEurope	Admix(TEJ-TRJ)	Admix
P4133		Oryzasativa	PI	431128	A152	Bangladesh	28853	25.3921	89.1088	Subcontinent	Admix(TEJ-TRJ)	Admix
S4163		Oryzasativa	PI	434614	Jyanak	Bhutan	29037	26.5043	90.5562	Subcontinent	Admix(TEJ-TRJ-ARO)	Admix
P4137		Oryzasativa	PI	584555	DARMALI	Nepal	33424	27.633	85.067	Subcontinent	Admix(TEJ-TRJ-AUS-ARO)	Admix
F4051		Oryzasativa	PI	400672	WW8/2290	Netherlands	27548	50.4454	6.85508	WesternEurope	Admix(TRJ-ARO-IND)	Admix
K4095		Oryzasativa	PI	215970	TAINO38	Taiwan	19842	24.2372	120.577	China	Admix(TRJ-AUS-IND-TEJ)	Admix
C4023	LANDRACE	Oryzasativa	PI	277414	RedKhoshaCerma	Afghanistan	22605	35.0435	64.0182	Subcontinent	ARO	ARO
H4072		Oryzasativa	PI	584625	AkTokhum	Azerbaijan	33757	38.002	45.4436	Balkans	ARO	ARO
K4099	LANDRACE	Oryzasativa	PI	256340	2	Afghanistan	21640	34.5	62	Subcontinent	ARO	ARO
N4125		Oryzasativa	PI	406073	79	Guyana	27711	4.89124	-59.0637	SouthAmerica	ARO	ARO
P4136		Oryzasativa	PI	439669	GasymHany	Azerbaijan	29252	41.9741	46.7447	Balkans	ARO	ARO
X4207		Oryzasativa	PI	431310	Pakkali	Philippines	28853	16.8243	120.909	SouthPacific	ARO	ARO
C4024	LANDRACE	Oryzasativa	PI	277415	SafutKhosha	Afghanistan	22605	32.8781	64.6634	Subcontinent	AUS	AUS
C4029	LANDRACE	Oryzasativa	PI	353723	IARI6626	India	25692	24.9415	93.2684	Subcontinent	AUS	AUS
D4036	LANDRACE	Oryzasativa	PI	385826	NC1/536	Pakistan	27080	30.6447	74.6999	Subcontinent	AUS	AUS
D4039		Oryzasativa	PI	388436	DobleCarolina	Uruguay	27093	-32.211	-56.0197	SouthAmerica	AUS	AUS
E4046		Oryzasativa	PI	392694	PATNAI6	Myanmar	27428	16.8504	97.1346	SoutheastAsia	AUS	AUS
G4068	LANDRACE	Oryzasativa	PI	549253	N-2703	Nepal	31029	27.445	82.9558	Subcontinent	AUS	AUS
G4069		Oryzasativa	PI	584564	TCHAMPA	Iran	33424	31.2367	51.0068	Mideast	AUS	AUS
G4070		Oryzasativa	PI	584566	PHUDUGEY	Bhutan	33424	27.3	90.617	Subcontinent	AUS	AUS
K4097		Oryzasativa	PI	240638	Dular	India	20981	21.5446	84.4994	Subcontinent	AUS	AUS
L4106	LANDRACE	Oryzasativa	PI	353722	IARI6621	India	25692	25.9432	92.2	Subcontinent	AUS	AUS
L4109	LANDRACE	Oryzasativa	PI	373403	ARC6578	India	26385	25.75	93.25	Subcontinent	AUS	AUS
M4111		Oryzasativa	PI	389863	99216	India	27273	21.1805	78.3261	Subcontinent	AUS	AUS
M4116		Oryzasativa	PI	392637	SORNAVARI	Mali	27428	12.8481	-7.95841	Africa	AUS	AUS
N4122		Oryzasativa	PI	402689	Tauli	Nepal	27610	27.095	85.1042	Subcontinent	AUS	AUS
N4124		Oryzasativa	PI	402983	Dara	Indonesia	27610	-7.04691	108.765	SouthPacific	AUS	AUS
N4128		Oryzasativa	PI	430339	Saraya	Fiji	28824	-19.496	178.326	SouthPacific	AUS	AUS
P4132		Oryzasativa	PI	431092	Montakcl	Egypt	28853	27.736	29.0454	Mideast	AUS	AUS
P4134		Oryzasativa	PI	431172	LAPLATAGENAF.A.	Argentina	28853	-34.4964	-58.2098	SouthAmerica	AUS	AUS
Q4150		Oryzasativa	PI	352687	C.B.II	Japan	25778	35.6002	138.827	NorthPacific	AUS	AUS
R4151		Oryzasativa	PI	373340	Gallawa	SriLanka	26385	6.24301	81.427	Subcontinent	AUS	AUS
R4152		Oryzasativa	PI	373341	Ittikulama	SriLanka	26385	5.79231	81.2498	Subcontinent	AUS	AUS
R4153	LANDRACE	Oryzasativa	PI	373347	Karayal	SriLanka	26385	6.10952	81.3417	Subcontinent	AUS	AUS
R4155		Oryzasativa	PI	392768	NangBangBentre	Vietnam	27428	16.8012	105.296	SoutheastAsia	AUS	AUS
R4156		Oryzasativa	PI	393112	DNJ179	Bangladesh	27428	24.7346	88.7922	Subcontinent	AUS	AUS
R4157		Oryzasativa	PI	403082	DJ24	Bangladesh	27610	22.3788	91.6177	Subcontinent	AUS	AUS
R4158		Oryzasativa	PI	403114	DJ102	Bangladesh	27610	24.924	89.5763	Subcontinent	AUS	AUS
R4159		Oryzasativa	PI	403214	DNJ121	Bangladesh	27610	23.493	90.849	Subcontinent	AUS	AUS
S4161		Oryzasativa	PI	431204	UZROS7-13	Uzbekistan	28853	41.7316	70.2067	Balkans	AUS	AUS
S4162		Oryzasativa	PI	433799	SL22-620	SierraLeone	29007	9.09027	-11.8061	Africa	AUS	AUS
S4166	LANDRACE	Oryzasativa	PI	127076	SpinMere	Afghanistan	13912	31.617	65.717	Subcontinent	AUS	AUS
T4171	LANDRACE	Oryzasativa	PI	385697	P35	India	27080	32.0393	73.8355	Subcontinent	AUS	AUS
T4172		Oryzasativa	PI	392630	CAROLINO164	Chad	27428	16.0526	21.0676	Africa	AUS	AUS
