SampleID	groupID	location	compartment	replicate	Description
ANA1	ANA	AN	A	1	soil
ANA2	ANA	AN	A	2	soil
ANA3	ANA	AN	A	3	soil
ANB1	ANB	AN	B	1	straw
ANB2	ANB	AN	B	2	straw
ANB3	ANB	AN	B	3	straw
ANC1	ANC	AN	C	1	perithecium
ANC2	ANC	AN	C	2	perithecium
ANC3	ANC	AN	C	3	perithecium
CZA1	CZA	CZ	A	1	soil
CZA2	CZA	CZ	A	2	soil
CZA3	CZA	CZ	A	3	soil
CZB1	CZB	CZ	B	1	straw
CZB2	CZB	CZ	B	2	straw
CZB3	CZB	CZ	B	3	straw
CZC1	CZC	CZ	C	1	perithecium
CZC2	CZC	CZ	C	2	perithecium
CZC3	CZC	CZ	C	3	perithecium
HYA1	HYA	HY	A	1	soil
HYA2	HYA	HY	A	2	soil
HYA3	HYA	HY	A	3	soil
HYB1	HYB	HY	B	1	straw
HYB2	HYB	HY	B	2	straw
HYB3	HYB	HY	B	3	straw
HYC1	HYC	HY	C	1	perithecium
HYC2	HYC	HY	C	2	perithecium
HYC3	HYC	HY	C	3	perithecium
XCA1	XCA	XC	A	1	soil
XCA2	XCA	XC	A	2	soil
XCA3	XCA	XC	A	3	soil
XCB1	XCB	XC	B	1	straw
XCB2	XCB	XC	B	2	straw
XCB3	XCB	XC	B	3	straw
XCC1	XCC	XC	C	1	perithecium
XCC2	XCC	XC	C	2	perithecium
XCC3	XCC	XC	C	3	perithecium
