SampleID	Description	Env	SourceSink	groupID	location	compartment	replicate	Annotation
ANA1	ANA1	soil	source	ANA	AN	A	1	soil
ANA2	ANA2	soil	source	ANA	AN	A	2	soil
ANA3	ANA3	soil	source	ANA	AN	A	3	soil
ANB1	ANB1	straw	sink	ANB	AN	B	1	straw
ANB2	ANB2	straw	sink	ANB	AN	B	2	straw
ANB3	ANB3	straw	sink	ANB	AN	B	3	straw
ANC1	ANC1	perithecium	source	ANC	AN	C	1	perithecium
ANC2	ANC2	perithecium	source	ANC	AN	C	2	perithecium
ANC3	ANC3	perithecium	source	ANC	AN	C	3	perithecium
CZA1	CZA1	soil	source	CZA	CZ	A	1	soil
CZA2	CZA2	soil	source	CZA	CZ	A	2	soil
CZA3	CZA3	soil	source	CZA	CZ	A	3	soil
CZB1	CZB1	straw	sink	CZB	CZ	B	1	straw
CZB2	CZB2	straw	sink	CZB	CZ	B	2	straw
CZB3	CZB3	straw	sink	CZB	CZ	B	3	straw
CZC1	CZC1	perithecium	source	CZC	CZ	C	1	perithecium
CZC2	CZC2	perithecium	source	CZC	CZ	C	2	perithecium
CZC3	CZC3	perithecium	source	CZC	CZ	C	3	perithecium
HYA1	HYA1	soil	source	HYA	HY	A	1	soil
HYA2	HYA2	soil	source	HYA	HY	A	2	soil
HYA3	HYA3	soil	source	HYA	HY	A	3	soil
HYB1	HYB1	straw	sink	HYB	HY	B	1	straw
HYB2	HYB2	straw	sink	HYB	HY	B	2	straw
HYB3	HYB3	straw	sink	HYB	HY	B	3	straw
HYC1	HYC1	perithecium	source	HYC	HY	C	1	perithecium
HYC2	HYC2	perithecium	source	HYC	HY	C	2	perithecium
HYC3	HYC3	perithecium	source	HYC	HY	C	3	perithecium
XCA1	XCA1	soil	source	XCA	XC	A	1	soil
XCA2	XCA2	soil	source	XCA	XC	A	2	soil
XCA3	XCA3	soil	source	XCA	XC	A	3	soil
XCB1	XCB1	straw	sink	XCB	XC	B	1	straw
XCB2	XCB2	straw	sink	XCB	XC	B	2	straw
XCB3	XCB3	straw	sink	XCB	XC	B	3	straw
XCC1	XCC1	perithecium	source	XCC	XC	C	1	perithecium
XCC2	XCC2	perithecium	source	XCC	XC	C	2	perithecium
XCC3	XCC3	perithecium	source	XCC	XC	C	3	perithecium
